Unnamed: 0,eventid,iyear,imonth,iday,region,region_txt,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,gname,claimed,claimmode,claimmode_txt,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,Date,Month,TTP,dMonth
3,200712060008,2007,12,6,6,South Asia,Balochistan,Dera Bugti,29.034412,69.158661,,"12/06/2007: A remote controlled roadside bomb went off when two Pakistani military vehicles passed by in Dera Bugti, Balochistan. The blast killed a paramilitary soldier and wounded four others. The Baloch Republican Army claimed responsibility for the attack; however Pakistani officials denied the claim.",0,1,0,3,Bombing/Explosion,4,Military,39.0,Paramilitary,Pakistani paraMilitary soldiers,soldiers of Frontier Corps in Balochistan province.,Baloch Republican Army (BRA),1,10.0,Unknown,6,Explosives,12.0,Remote Trigger,1.0,0.0,0.0,4.0,0.0,0.0,0,,,,,0,,,,,,,,,,,,,,,,,"""""Remote-Control Bomb Kills Soldier in Southwest Pakistan: Officials,� Hong Kong AFP, December 6th, 2007.","""""Pakistan: Soldier Killed, Four Injured in Balochistan Blast,� Islamabad The Nation, December 7th, 2007.",,CETIS,0,0,0,0,,2007-12-06,Dec,0.0,2
23,200712230005,2007,12,23,6,South Asia,Khyber Pakhtunkhwa,Mingora,34.774479,72.364052,,"12/23/2007:  In Mingaora, Pakistan, a sucicide bomber detonated his vehicle-borne improvised explosive devide (VBIED) near a military convoy.  Six civillians were killed, along with four soldiers and three children.  Fifteen soldiers were wounded along with 11 civillians.  Damages were suffered toward four civillain vehicle, two military vehicles, 14 shops, and to nearby electric lines.  The Thrik-i-Taliban Pakistan (TTP) claimed responsibility.",0,1,1,3,Bombing/Explosion,4,Military,29.0,Military Unit/Patrol/Convoy,Unknown,Military Convoy,Tehrik-i-Taliban Pakistan (TTP),1,10.0,Unknown,6,Explosives,15.0,Vehicle,14.0,0.0,1.0,26.0,0.0,0.0,1,2.0,Major (likely >= $1 million but < $1 billion),,"Four civillian vehicles were destroyed along with, two military vehicle.  Fourteen local shops suffered damages and nearby electric lines were damaged.",0,,,,,,,,,,,,,,,,,"National Counter Terrorism Center, 2007 Report on Terrorism",,,CETIS,0,0,0,0,,2007-12-23,Dec,1.0,2
24,200712270001,2007,12,27,6,South Asia,Punjab,Rawalpindi,33.594013000000004,73.06907700000001,,"12/27/2007: In Pakistan�s city of Rawalpindi, Pakistan, former prime minister and then head of the Pakistan Peoples Party, Benazir Bhutto and over twenty others were killed in a suicide bombing. Bhutto, who had just finished a political rally, had the top half of her body outside her protected vehicle when a perpetrator started firing a gun at her and then proceeded to detonate an explosive device on his person. Who was behind this incident and the cause of Bhutto�s death are still in great debate. Investigators from Scotland Yard concluded that she died after hitting her head as she was tossed back from the force of the explosion. They also concluded that it was the same person who shot at Bhutto and then blew himself up. At least four people have been arrested for the incident so far. Pakistani government officials blamed Taliban leader Baitullah Mehsud and al-Qaida for the attack and al- Qaida spokesman, Shaykh Saeed, claimed his organization orchestrated the attack. In addition, in an email to her friend Mark Seigel about a month prior, Bhutto herself stated that she would blame Pakistani President Perez Musharraf if any type of assassination occurred against her. Also of note, on October 18, 2007, the day Bhutto arrived back in Pakistan from a long exile, there was a tremendous explosive attack, killing at least 134 people that appeared to target her.",0,1,1,1,Assassination,22,Violent Political Party,109.0,Party Official/Candidate/Other Personnel,Pakistan People's Party (PPP),Leader: Benazir Bhutto,Al-Qaida,1,2.0,Call (post-incident),6,Explosives,13.0,Suicide (carried bodily by human being),20.0,0.0,1.0,100.0,0.0,,1,3.0,Minor (likely < $1 million),,"Three vehicles in Bhutto's motorcade were damaged, dozens of windows were broken, and tens of cars were hit in the explosion.",0,,,,,,,,,,,,,,,,"This incident had many conflicting stories, especially regarding who was behind the killing. The Pakistani government argues that Taliban leader Baitullah Mehsud, who they said they had recorded congratulating his people for accomplishing the killing, and Al Qaeda, who had spokesman Shaykh Saeed claim responsibility. Mehsud denied that he was involved. The Scotland Yard investigators struggled to find information because the crime scene was quickly cleaned and the were denied the rights to an autopsy. Two of the men arrested were named Husnain and Rafaqat. This incident was followed by a great amount violence and unrest in the country. After the incident the Parliamentary elections scheduled for January 8th, 2008 were postponed to February 18.","Eric Schmitt and Salman Masood, �Head Injury Killed Bhutto, Report Said to Find,� New York Times, February 8, 2007.","�Al-Qaida Spokesman Claims Responsibility for Bhutto Killing,� Rome AKI-Adnkronos International, December 27, 2007.","�Pakistan: Bhutto's E-Mail Says Musharraf 'Responsible' if 'Something Happened,'� Karachi ARY One World, December 31, 2007.",CETIS,0,1,0,1,,2007-12-27,Dec,0.0,2
25,200801010014,2008,1,1,6,South Asia,Federally Administered Tribal Areas,South Waziristan district,32.320237,69.859741,,"01/01/2008:  Four Pakistani troops were abducted in South Waziristan as they moved toward their base.  In a phone call to media Taliban spokesman Maulvi Omar confirmed the troops had been seized by the Tehrik-i-Taliban Pakistan (TTP), an umbrella organization of Pakistani Taliban.",0,1,0,6,Hostage Taking (Kidnapping),4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Pakistani army,,Tehrik-i-Taliban Pakistan (TTP),1,10.0,Unknown,13,Unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1,4.0,0.0,-99.0,-99.0,,,0.0,,,,,,7.0,Unknown,-99.0,Authorities suspect Taliban and al-Qaida-linked extremists.,"Sadaqat Jan, �Pakistani troops kill at least 15 militants near Afghan border,� Associated Press, January 2, 2008.","Pajhwok Afghan News, �Taliban deadline for halt to Swat operation expires today,� January 3, 2008.","The Press Trust of India, �Taliban group issues ultimatum to Pak govt,� January 3, 2008.",CETIS,0,0,0,0,,2008-01-01,Jan,1.0,4
26,200801050006,2008,1,5,6,South Asia,Federally Administered Tribal Areas,Jandola,32.333344,70.128281,,01/05/2008:  Taliban militants attacked with gunfire at a military checkpoint in the Jandola Frontier Region of the Tank district in northwest Pakistan.  Tehrik-i-Taliban Pakistan warned the government that they would attack military and government installations if the government did not meet a two day deadline to pull troops out of the Swat Valley which they did not. There were undescribed amounts of damage and death tolls.,0,1,0,7,Facility/Infrastructure Attack,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Pakistani Armed Forces,Soldiers,Tehrik-i-Taliban Pakistan (TTP),1,2.0,Call (post-incident),5,Firearms,5.0,Unknown Gun Type,,0.0,,,0.0,,-9,,,,It is unknown if a checkpoint was damaged in this attack.,0,,,,,,,,,,,,,,,,,"Alamgir Bhettani, """"Army picket attacked,"""" Dawn, January 6, 2008.",,,CETIS,0,0,0,0,,2008-01-05,Jan,1.0,4
27,200801050013,2008,1,5,6,South Asia,Federally Administered Tribal Areas,Wana,32.306098999999996,69.57995600000001,The militants were stopping traffic on a road heading out of Wana.,01/05/2008:  Suspected militants associated with Tehrik-i-Taliban Pakistan (TTP) abducted five Christians in the South Waziristan Agency of Pakistan.  The militants said the hostages would be freed after six militants in custody of law enforcement agencies were freed.,0,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,69.0,Religion Identified,Christians,Christians abducted in South Waziristan.,Tehrik-i-Taliban Pakistan (TTP),1,10.0,Unknown,5,Firearms,5.0,Unknown Gun Type,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1,5.0,0.0,,2.0,Unknown,Unknown,0.0,,,,,The militants demanded that some of their own be freed.,2.0,Hostage(s) released by perpetrators,5.0,"The hostages were released on January 7, 2008.","""""Militants abduct five Christians in Pakistan,"""" Indo-Asian News Service, January 5, 2008.","Mushtaq Yusufzai and Irfan Burki, """"Five Christians Kidnapped in SWA,"""" The News, January 5, 2008.",,CETIS,0,1,1,1,,2008-01-05,Jan,1.0,4
28,200801060010,2008,1,6,6,South Asia,Khyber Pakhtunkhwa,Peshawar,34.006004,71.53743,,"01/06/2008:  A bomb was planted outside a music shop and hair salon in the Sheikh Mohammadi suburb of Peshawar, Pakistan in North West Frontier Province.  The blast destroyed the shops and killed a security guard named Sher Zada at around 4:00 am (2300 GMT). Pro-Taliban militants may be to blame.",0,1,0,3,Bombing/Explosion,1,Business,7.0,Retail/Grocery/Bakery,CD Shop,CD Shop,Tehrik-i-Taliban Pakistan (TTP),0,,,6,Explosives,16.0,Unknown Explosive Type,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The CD shop was destroyed and the shops around it suffered damage.,0,,,,,,,,,,,,,,,,,"""""One killed in Pakistan blast,"""" Agence France Presse, January 6, 2008.","""""Security guard killed in Pak blast,"""" The Press Trust of India, January 6, 2008.","""""Watchman Killed in Blast,"""" Daily Times, January 7, 2008.",CETIS,0,0,0,0,,2008-01-06,Jan,1.0,4
29,200801060014,2008,1,6,6,South Asia,Federally Administered Tribal Areas,Wana,32.306098999999996,69.57995600000001,,"01/06/2008:  Suspected Taliban militants fired a rocket into the offices of the pro-government tribal leader Maulyi Nazir in the town of Wana, Pakistan.  Three Tribesmen were killed in the attack.",1,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Opposing Tribal Leader,Followers,Tehrik-i-Taliban Pakistan (TTP),0,,,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",3.0,0.0,0.0,,0.0,0.0,1,3.0,Minor (likely < $1 million),,The offices were damaged.,0,,,,,,,,,,,,,,,,,"""""Enemies of Taliban slain in Pakistan,"""" The Star-Ledger, January 8, 2008.","""""Militants kill nine pro-govt tribesmen,"""" The Nation, January 7, 2008.","Ravi Nessman, """"8 government-allied tribesmen killed in northwestern Pakistan,"""" Associated Press Worldstream, January 8, 2008.",CETIS,0,0,0,0,"200801060014, 200801060015, 200801060016",2008-01-06,Jan,1.0,4
30,200801060015,2008,1,6,6,South Asia,Federally Administered Tribal Areas,Shakai,32.475559000000004,69.63606300000001,,"01/06/2008:  Suspected Taliban militants fired a rocket into the offices of the pro-government tribal leader Maulyi Nazir in the town of Shakai, Pakistan.  Five tribesmen were killed and six others were wounded in the attack.",1,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Opposing Tribal Leader,Followers,Tehrik-i-Taliban Pakistan (TTP),0,,,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,0.0,0.0,6.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The offices were damaged.,0,,,,,,,,,,,,,,,,,"""""Enemies of Taliban slain in Pakistan,"""" The Star-Ledger, January 8, 2008.","""""Militants kill nine pro-govt tribesmen,"""" The Nation, January 7, 2008.","Ravi Nessman, """"8 government-allied tribesmen killed in northwestern Pakistan,"""" Associated Press Worldstream, January 8, 2008.",CETIS,0,0,0,0,"200801060014, 200801060015, 200801060016",2008-01-06,Jan,1.0,4
59,200801290008,2008,1,29,6,South Asia,Khyber Pakhtunkhwa,Manglor,34.809016,72.430577,,"01/29/2008:  Taliban militants beheaded a civilian they accused of spying in Minglawar, Pakistan.",0,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Pakistan citizen,Civilian,Tehrik-i-Taliban Pakistan (TTP),1,2.0,Call (post-incident),9,Melee,23.0,Knife or Other Sharp Object,1.0,0.0,0.0,0.0,0.0,,0,,,,,1,1.0,0.0,-99.0,3.0,,,-9.0,,,,,,4.0,Hostage(s) killed (not during rescue attempt),0.0,"Victim kidnapped on Friday, January 25th and found dead on Sunday, January 27th.","�Pakistan: Policeman Beheaded in Swat; Taliban Claims Responsibility,� Islamabad The News (Internet Version-WWW) in English, January 29, 2008.",,,CETIS,0,0,0,0,,2008-01-29,Jan,1.0,4
